Name,Associated Names,Ticker,Stock Table Name,Official Name,Sector,Exchange
Verra,,VRRM,,VERRA MOBILITY CORP CLASS A,Industrials,NASDAQ
Vertex,,VRTX,VertexPharm,VERTEX PHARMACEUTICALS INC,Health Care,NASDAQ
Vertiv,,VRT,Vertiv,VERTIV HOLDINGS CLASS A,Industrials,New York Stock Exchange Inc.
Virgin Galactic,,SPCE,,VIRGIN GALACTIC HOLDINGS INC SHS C,Industrials,New York Stock Exchange Inc.
Vornado,,VNO,,VORNADO REALTY TRUST REIT,Real Estate,New York Stock Exchange Inc.
Walgreens,,WBA,WalgreensBoots,WALGREEN BOOTS ALLIANCE INC,Consumer Staples,NASDAQ
Walmart,,WMT,Walmart,WALMART INC,Consumer Staples,New York Stock Exchange Inc.
Warner Bros,,WBD,WarnerBrosA,WARNER BROS. DISCOVERY INC SERIES,Communication,NASDAQ
Waste,,WM,,WASTE MANAGEMENT INC,Industrials,New York Stock Exchange Inc.
Wells Fargo,,WFC,WellsFargo,WELLS FARGO,Financials,New York Stock Exchange Inc.
Western Alliance,,WAL,,WESTERN ALLIANCE,Financials,New York Stock Exchange Inc.
Western Digital,,WDC,WesternDigital,WESTERN DIGITAL CORP,Information Technology,NASDAQ
Williams-Sonoma,,WSM,Williams-Sonoma,WILLIAMS SONOMA INC,Consumer Discretionary,New York Stock Exchange Inc.
Wyndham,,WH,,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,New York Stock Exchange Inc.
Yelp,,YELP,,YELP INC,Communication,New York Stock Exchange Inc.
Yum,,YUM,Yum!Brands,YUM BRANDS INC,Consumer Discretionary,New York Stock Exchange Inc.
Zions,,ZION,,ZIONS BANCORPORATION,Financials,NASDAQ
Zoom,,ZM,ZoomVideo,ZOOM VIDEO COMMUNICATIONS INC CLAS,Information Technology,NASDAQ
,,TXG,,10X GENOMICS INC CLASS A,Health Care,NASDAQ
,,FLWS,,1-800 FLOWERS.COM INC CLASS A,Consumer Discretionary,NASDAQ
,,BCOW,,1895 BANCORP OF WISCONSIN INC,Financials,NASDAQ
,,SRCE,,1ST SOURCE CORP,Financials,NASDAQ
,,XXII,,22ND CENTURY GROUP INC,Consumer Staples,NASDAQ
,,ME,,23ANDME HOLDING CLASS A,Health Care,NASDAQ
,,TSVT,,2SEVENTY BIO INC,Health Care,NASDAQ
,,TWOU,,2U INC,Consumer Discretionary,NASDAQ
,,DDD,,3D SYSTEMS CORP,Industrials,New York Stock Exchange Inc.
,,MMM,,3M,Industrials,New York Stock Exchange Inc.
,,FDMT,,4D MOLECULAR THERAPEUTICS INC,Health Care,NASDAQ
,,FEAM,,5E ADVANCED MATERIALS INC,Materials,NASDAQ
,,ETNB,,89BIO INC,Health Care,NASDAQ
